"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","genename"
"ENSG00000188290",108.922127976716,2.0570638345841,0.196905313156012,10.4469696709212,1.51281888958412e-25,1.30538201374068e-24,"HES4","57801","hes family bHLH transcription factor 4"
"ENSG00000069812",3.15810817128513,2.95472164641184,1.29792491898597,2.27649658558084,0.0228163047331629,0.0419494385176342,"HES2","54626","hes family bHLH transcription factor 2"
"ENSG00000162490",12.974640930305,3.04770708207733,0.655648991392372,4.64838217108374,3.34548639275264e-06,1.01976791016315e-05,"DRAXIN","374946","dorsal inhibitory axon guidance protein"
"ENSG00000158825",13.8286362530918,-4.04436745726271,0.759755825654097,-5.3232463914058,1.01931528822055e-07,3.54391807449739e-07,"CDA","978","cytidine deaminase"
"ENSG00000020633",8.52787075188608,2.85925576500221,0.789746722313883,3.62047183510286,0.000294066261993963,0.000723772306156819,"RUNX3","864","RUNX family transcription factor 3"
"ENSG00000127423",20.8088303974424,-2.01706738833321,0.455301338389107,-4.43018110921826,9.41539814924779e-06,2.73588600007125e-05,"AUNIP","79000","aurora kinase A and ninein interacting protein"
"ENSG00000158008",82.7351085587211,-2.48788354917619,0.235884139074277,-10.5470573771507,5.24129482427474e-26,4.58162533334289e-25,"EXTL1","2134","exostosin like glycosyltransferase 1"
"ENSG00000162520",248.715147599884,-3.52266962027786,0.164601279632751,-21.4012286425563,1.3013334189541e-101,5.84727192943463e-100,"SYNC","81493","syncoilin, intermediate filament protein"
"ENSG00000092853",122.202137432252,-2.42411269643144,0.195217559026652,-12.4174931216125,2.1004037254857e-35,2.4924114417237e-34,"CLSPN","63967","claspin"
"ENSG00000134690",309.413921089907,-3.19981705199699,0.139249076696853,-22.979089900632,7.54517745764677e-117,4.16482492025461e-115,"CDCA8","55143","cell division cycle associated 8"
"ENSG00000163909",6.72067942828981,3.5978127579259,1.01124751259834,3.55779639811575,0.000373979003496263,0.000908322767555689,"HEYL","26508","hes related family bHLH transcription factor with YRPW motif like"
"ENSG00000117399",548.054729960495,-3.23340373494476,0.114651721630663,-28.2019640783135,5.53209165198134e-175,6.9685441681112e-173,"CDC20","991","cell division cycle 20"
"ENSG00000142945",300.535541619319,-2.95302462701455,0.138415331946838,-21.3345197058714,5.42992875105398e-101,2.43241002835968e-99,"KIF2C","11004","kinesin family member 2C"
"ENSG00000162415",21.4798159246607,2.82989198165189,0.486504418307475,5.81678577863064,5.99899410157902e-09,2.29823693966913e-08,"ZSWIM5","57643","zinc finger SWIM-type containing 5"
"ENSG00000085999",49.8295652262928,-2.88281485175919,0.32087597736006,-8.98420279223437,2.60616744034237e-19,1.74510203252003e-18,"RAD54L","8438","RAD54 like"
"ENSG00000123080",131.552292323887,-2.75714018901389,0.201695674945614,-13.6698032308195,1.53810538247651e-42,2.21806234118775e-41,"CDKN2C","1031","cyclin dependent kinase inhibitor 2C"
"ENSG00000085832",605.654170098824,-2.0867969772198,0.0858107005301628,-24.318610200441,1.24600690024837e-130,8.82867773839448e-129,"EPS15","2060","epidermal growth factor receptor pathway substrate 15"
"ENSG00000085840",62.6028396919314,-2.54031934733897,0.26860935980529,-9.45730018187157,3.15996579067989e-21,2.32277186149827e-20,"ORC1","4998","origin recognition complex subunit 1"
"ENSG00000162599",31.0763295811351,-2.06564101993564,0.363228525027227,-5.6868909725105,1.29372992252489e-08,4.8491840280193e-08,"NFIA","4774","nuclear factor I A"
